| 1 | academic_integrity | Administration & Governance | L5 | E | A-023.0 | EVIDENCED_LEVEL_ONLY | E2E_gate_missing | L6 | E2E path and gate evidence | gate continuity | high | medium | A-026.7 |
| 2 | academic_records | Core Academic | L4 | D | A-023.0 | EVIDENCED_LEVEL_ONLY | KPI_evidence_missing | L5 | KPI lineage mapping | lineage contract | medium | medium | A-026.6 |
| 3 | access_control | Identity/Access/Security | L5 | E | A-023.0 | EVIDENCED_LEVEL_ONLY | E2E_gate_missing | L6 | E2E and gate evidence | gate continuity | high | high | A-026.7 |
| 4 | accreditation | Administration & Governance | L4 | D | A-023.0 | EVIDENCED_LEVEL_ONLY | KPI_evidence_missing | L5 | KPI evidence lineage | lineage mapping | medium | low | A-026.6 |
| 5 | accreditation_compliance | Planned Expansion | L2 | B | A-023.0 | EVIDENCED_LEVEL_ONLY | FSM_workflow_missing | L3 | deterministic service logic | targeted tests | medium | high | A-026.4 |
| 6 | admin | Administration & Governance | L4 | D | A-023.0 | EVIDENCED_LEVEL_ONLY | API_missing | L5 | verify admin API scope | route tests | medium | low | A-026.5 |
| 7 | admissions | Administration & Governance | L5 | E | A-023.0 | EVIDENCED_LEVEL_ONLY | E2E_gate_missing | L6 | E2E for admissions workflows | gate continuity | high | high | A-026.7 |
| 8 | advising | Student & Campus Life | L4 | D | A-023.0 | EVIDENCED_LEVEL_ONLY | frontend_missing | L5 | verify advising dashboard UX | frontend tests | medium | medium | A-026.5 |
| 9 | ai_admissions_scoring | Research & Innovation | L3 | C | A-023.0 | EVIDENCED_LEVEL_ONLY | API_missing | L4 | expose scoring API readiness | route tests | medium | high | A-026.5 |
| 10 | ai_copilot_ops | Planned Expansion | L2 | B | A-023.0 | EVIDENCED_LEVEL_ONLY | service_contract_missing | L3 | deterministic copilot service | contract tests | medium | high | A-026.4 |
| 11 | ai_cost_governance | Planned Expansion | L2 | B | A-023.0 | EVIDENCED_LEVEL_ONLY | service_contract_missing | L3 | cost service determinism | contract tests | medium | high | A-026.4 |
| 12 | ai_gateway | Integrations & Platform | L4 | D | A-023.0 | EVIDENCED_LEVEL_ONLY | Brain_mapping_missing | L5 | Brain signal gateway mapping | mapping tests | medium | high | A-026.6 |
| 13 | ai_guardrails | AI/Knowledge/Reasoning | L3 | C | A-023.0 | EVIDENCED_LEVEL_ONLY | API_missing | L4 | guardrails control API | route tests | medium | high | A-026.5 |
| 14 | ai_plagiarism | Research & Innovation | L2 | B | A-023.0 | EVIDENCED_LEVEL_ONLY | FSM_workflow_missing | L3 | plagiarism detection FSM | transition tests | medium | high | A-026.4 |
| 15 | ai_routing_control | Planned Expansion | L2 | B | A-023.0 | EVIDENCED_LEVEL_ONLY | service_contract_missing | L3 | routing control determinism | contract tests | medium | high | A-026.4 |
| 16 | alumni | Administration & Governance | L4 | D | A-023.0 | EVIDENCED_LEVEL_ONLY | KPI_evidence_missing | L5 | alumni metrics lineage | lineage mapping | medium | low | A-026.6 |
| 17 | alumni_donation_portal | Administration & Governance | L3 | C | A-023.0 | EVIDENCED_LEVEL_ONLY | API_missing | L4 | donation API visibility | route tests | medium | medium | A-026.5 |
| 18 | alumni_relations_ops | Planned Expansion | L1 | A | A-023.0 | EVIDENCED_LEVEL_ONLY | service_contract_missing | L2 | alumni service contract | contract tests | medium | high | A-026.3 |
| 19 | analytics | Integrations & Platform | L4 | D | A-023.0 | EVIDENCED_LEVEL_ONLY | Brain_mapping_missing | L5 | analytics brain mapping | mapping tests | medium | medium | A-026.6 |
| 20 | asset_inventory | Finance & Billing | L4 | D | A-023.0 | EVIDENCED_LEVEL_ONLY | KPI_evidence_missing | L5 | asset KPI lineage | lineage mapping | medium | medium | A-026.6 |
| 21 | attendance | Student & Campus Life | L3 | C | A-023.0 | EVIDENCED_LEVEL_ONLY | API_missing | L4 | attendance API readiness | route tests | medium | medium | A-026.5 |
| 22 | audit | Administration & Governance | L4 | D | A-023.0 | EVIDENCED_LEVEL_ONLY | KPI_evidence_missing | L5 | audit trail evidence mapping | lineage mapping | medium | high | A-026.6 |
| 23 | auth | Identity/Access/Security | L4 | D | A-023.0 | EVIDENCED_LEVEL_ONLY | Brain_mapping_missing | L5 | auth event mapping | mapping tests | medium | high | A-026.6 |
| 24 | backup | Integrations & Platform | L4 | D | A-023.0 | EVIDENCED_LEVEL_ONLY | verification_pending | L5 | verify backup determinism | deterministic unit tests | medium | low | A-026.5 |
| 25 | billing | Finance & Billing | L6 | F | A-023.0 | EVIDENCED_LEVEL_ONLY | preserve_only | L6 | preserve gate continuity | regression tests | medium | high | A-026.7 |
| 26 | blockchain_diploma | Administration & Governance | L3 | C | A-023.0 | EVIDENCED_LEVEL_ONLY | API_missing | L4 | diploma verification API | route tests | medium | medium | A-026.5 |
| 27 | brain_core | AI/Knowledge/Reasoning | L5 | E | A-023.0 | EVIDENCED_LEVEL_ONLY | E2E_gate_missing | L6 | brain E2E and gates | gate continuity | high | high | A-026.7 |
| 28 | budget_planning | Finance & Billing | L5 | E | A-023.0 | EVIDENCED_LEVEL_ONLY | E2E_gate_missing | L6 | budget planning E2E gates | gate continuity | high | high | A-026.7 |
| 29 | campus_sla | Administration & Governance | L4 | D | A-023.0 | EVIDENCED_LEVEL_ONLY | KPI_evidence_missing | L5 | SLA KPI lineage | lineage mapping | medium | low | A-026.6 |
| 30 | career_services | Student & Campus Life | L4 | D | A-023.0 | EVIDENCED_LEVEL_ONLY | KPI_evidence_missing | L5 | career outcomes mapping | lineage mapping | medium | medium | A-026.6 |
| 31 | communications | Integrations & Platform | L4 | D | A-023.0 | EVIDENCED_LEVEL_ONLY | Brain_mapping_missing | L5 | comms event mapping | mapping tests | medium | low | A-026.6 |
| 32 | conference_management | Research & Innovation | L2 | B | A-023.0 | EVIDENCED_LEVEL_ONLY | FSM_workflow_missing | L3 | conference FSM transitions | transition tests | medium | low | A-026.4 |
| 33 | contracts_hr | Finance & Billing | L3 | C | A-023.0 | EVIDENCED_LEVEL_ONLY | API_missing | L4 | HR contract API | route tests | medium | low | A-026.5 |
| 34 | contracts_legal_repository | Planned Expansion | L2 | B | A-023.0 | EVIDENCED_LEVEL_ONLY | service_contract_missing | L3 | legal contract service | contract tests | medium | high | A-026.4 |
| 35 | counseling | Student & Campus Life | L3 | C | A-023.0 | EVIDENCED_LEVEL_ONLY | API_missing | L4 | counseling API visibility | route tests | medium | high | A-026.5 |
| 36 | counseling_case_management | Planned Expansion | L2 | B | A-023.0 | EVIDENCED_LEVEL_ONLY | service_contract_missing | L3 | case management service | contract tests | medium | high | A-026.4 |
| 37 | courses | Core Academic | L4 | D | A-023.0 | EVIDENCED_LEVEL_ONLY | KPI_evidence_missing | L5 | course KPI mapping | lineage mapping | medium | high | A-026.6 |
| 38 | currency_localization | Finance & Billing | L4 | D | A-023.0 | EVIDENCED_LEVEL_ONLY | Brain_mapping_missing | L5 | currency signal mapping | mapping tests | medium | low | A-026.6 |
| 39 | degree_progress | Core Academic | L5 | E | A-023.0 | EVIDENCED_LEVEL_ONLY | E2E_gate_missing | L6 | degree E2E and gates | gate continuity | high | high | A-026.7 |
| 40 | delinquency_collections | Finance & Billing | L4 | D | A-023.0 | EVIDENCED_LEVEL_ONLY | KPI_evidence_missing | L5 | delinquency KPI lineage | lineage mapping | medium | high | A-026.6 |
| 41 | developer_portal | Planned Expansion | L2 | B | A-023.0 | EVIDENCED_LEVEL_ONLY | service_contract_missing | L3 | developer service contract | contract tests | medium | low | A-026.4 |
| 42 | digital_certificates | Planned Expansion | L1 | A | A-023.0 | EVIDENCED_LEVEL_ONLY | service_contract_missing | L2 | digital cert service contract | contract tests | medium | high | A-026.3 |
| 43 | digital_documents | Administration & Governance | L3 | C | A-023.0 | EVIDENCED_LEVEL_ONLY | API_missing | L4 | document API visibility | route tests | medium | low | A-026.5 |
| 44 | dining | Student & Campus Life | L4 | D | A-023.0 | EVIDENCED_LEVEL_ONLY | KPI_evidence_missing | L5 | dining KPI mapping | lineage mapping | medium | low | A-026.6 |
| 45 | donations_fundraising | Planned Expansion | L1 | A | A-023.0 | EVIDENCED_LEVEL_ONLY | service_contract_missing | L2 | donation service contract | contract tests | medium | high | A-026.3 |
| 46 | enrollments | Core Academic | L5 | E | A-023.0 | EVIDENCED_LEVEL_ONLY | E2E_gate_missing | L6 | enrollment E2E and gates | gate continuity | high | high | A-026.7 |
| 47 | equipment_booking | Research & Innovation | L4 | D | A-023.0 | EVIDENCED_LEVEL_ONLY | Brain_mapping_missing | L5 | equipment utilization signal | mapping tests | medium | medium | A-026.6 |
| 48 | event_registration_portal | Planned Expansion | L1 | A | A-023.0 | EVIDENCED_LEVEL_ONLY | service_contract_missing | L2 | event registration contract | contract tests | medium | high | A-026.3 |
| 49 | events_management | Student & Campus Life | L5 | E | A-023.0 | EVIDENCED_LEVEL_ONLY | E2E_gate_missing | L6 | events E2E and gates | gate continuity | high | high | A-026.7 |
